"start","end","text"
"0","8060"," So this is the third workshop in the non-visual data science workshop series, welcome all."
"9340","17340"," This one is, you know, it has kind of almost like two names, but I've kind of just updated it to a"
"17340","25860"," slightly more descriptive name, which is exploring and representing data, but originally I called it,"
"25900","29200"," which is a more exciting title, talking to your data, which I think is still irrelevant."
"29980","37420"," I'm able to hear, and in this workshop we will be exploring ways to represent different types"
"37420","42840"," of data, such as, we'll get to it in a minute, but categorical data, different kinds of data,"
"43560","51920"," time data, accounts data, and binary data, all different kinds of data, and we'll be thinking"
"51920","57520"," about different ways to represent those non-visually, you know, traditionally our"
"58140","63660"," most, you know, in data science in general, often people will resort to visualizations"
"63660","67920"," to represent these kinds of data. We'll be trying to, we'll be doing it non-visually, and we'll also"
"67920","76700"," be talking a little bit about how to replace visual, specific visualizations. So we'll kind of"
"76700","81860"," be trying to stay primarily in this non-visual realm, but I will speak sometimes to the practical"
"81860","86020"," elements of like, well, what if my colleagues ask for a bar chart, what if my colleagues ask for a"
"86020","93220"," line chart, something like that. I want to get a few administrative items out of the way. This is"
"93220","98740"," the midpoint in the workshop series. This is the third workshop. This is the last workshop that"
"98740","107600"," will be taught by me, and my colleague Sarah Kane, who's a Marshall Fellow at Cambridge in astronomy,"
"107780","115440"," will be taking over for the next two sessions to show you all sonification, which I'm very"
"115440","120120"," excited about. So we'll be switching gears a little, but we'll still be drawing on a lot of what"
"120120","125560"," we've learned in these first three workshops, and using, you know, IPython and some of these"
"125560","132720"," other tools that we have kind of been using all along. Okay, let me go through there. Since it's"
"132720","136900"," kind of the midpoint, I want to go a little more in depth in some of the administrative"
"137660","140780"," stuff. There's been some questions that have come up a couple of times from people,"
"144390","150130"," so I have a list here. Okay, yeah, so first of all, I'd like to thank those of you,"
"150690","153730"," or those, you know, you've kind of maybe come to know them a little bit, the helpers"
"153730","159530"," who are hanging out in the chat answering questions. So I just want to thank again"
"160930","171090"," Alex, Elizabeth, Sarah, Stephen, and also Paul and Monica, who I think Steve,"
"171090","176670"," Paul, and Monica aren't here today, but, you know, they really help things run smoothly and"
"176670","181930"," keep things humming along in the chat while people have questions. So thank you so much to the helpers."
"184010","187710"," I'd also like to thank, there's been some participants who have been sort of very"
"187710","196090"," actively contributing, and I'd like to thank Nikhil Vohra, who made some pretty extensive"
