"start","end","text"
"2990","8050"," Hi everyone, my name is Sarah Kane. I'm a PhD student in astronomy at the"
"8050","13710"," University of Cambridge and I am one of the co-instructors for this non-visual"
"13710","19150"," data science tutorial series alongside Patrick Smith who is a blind programmer"
"19150","23270"," and programming instructor and consultant with the Iota School. This is"
"23270","28550"," the fourth of the five tutorial series. Today we'll begin talking about data"
"28550","33570"," sonification and the next tutorial, next week, will also cover the same topic."
"33930","39190"," Again these tutorials take place Tuesdays from 6 to 8 p.m. UK time, that's my time"
"39190","45710"," zone, 1 to 3 p.m. Eastern Time in the US or whatever that corresponds to in your"
"45710","51330"," respective time zone. These tutorials are being very generously supported by Pandas"
"51330","56490"," and Numfocus which makes them free and available to all of you and all of the"
"57210","61730"," recording you're watching right now and all of the written curricula are online"
"61730","65750"," and available to you. I really encourage you to check out the curriculum, it's got"
"65750","70170"," all of the code we'll go over as well as some more details and you know written"
"70170","73510"," instructions for everything we're doing today if you want to revisit it in"
"73510","76870"," written form and of course Patrick and I are always happy to answer your"
"76870","82710"," questions over email. We also have office hours on Thursdays from 6 to 8 p.m. UK"
"82710","88590"," time, 1 to 3 p.m. Eastern Time in the US and so on and so forth over the same"
"88590","93270"," zoom link that this live tutorial occurs. Now those of you who are watching this"
"93270","98250"," right now might be able to tell that this is not a live zoom course happening. "
"98710","103410"," We're currently, well I, this is not the Royal We, but I am currently re-recording"
"103410","109530"," this tutorial. We had some unfortunate sound difficulties during the live zoom"
"109530","113690"," so we wanted to make sure there was a nice clean version with no sound"
"113690","119030"," difficulties available to everyone for posterity so to speak. So I'm excited to"
"119030","122530"," go over this curriculum again with all of you and again if you have questions"
"122530","128070"," please feel free to reach out. Now without further ado, especially because"
"128070","132810"," there's no one else here with me, I think we're just going to jump right into"
"132810","139510"," things. So as you have before I encourage you now to open up Anaconda prompt. I'm"
"139510","143730"," already on the screen, I'm going to turn on my NVDA speech again, didn't want it"
"143730","148650"," talking over me during the intro. Speech mode beeps, speech mode talk. Excellent"
"148650","155850"," and hopefully you can hear that okay. Okay so open up Anaconda prompt as we"
"155850","160050"," have in the previous three tutorials. If you are not already there like I am you"
"160050","164990"," can do that by hitting the Windows key and typing in Anaconda prompt to open it"
"164990","170110"," up. Again this is Anaconda prompt not Anaconda navigator and what I want you"
"170110","176510"," to do right now is not to start IPython. Again please do not start IPython yet"
"176510","181790"," which is what we do usually after opening Anaconda prompt because"
"181790","186870"," that's the sort of interactive workspace we have to write code and test it. But"
"186870","191130"," what we're actually about to do right now is to do something called installing"
"191130","197590"," a package. Now we've used packages in the previous tutorials. We've used pandas and"
"197590","202150"," NumPy. These are like libraries of code that other people have written that we"
"202150","206590"," can now make use of and those packages because they're really popular and"
"206590","211970"," widely used are available with the Anaconda installation that you already"
"211970","217910"," have. But some less common packages like Astronify which is the sonification"
"217910","223450"," package that we're going to use today is not already pre-installed with Anaconda."
"223890","228030"," So we're gonna have to install it ourselves. No worries it's a pretty"
"228030","232510"," simple. It's as simple as one line of code actually. But before we get into that I"
"232510","238470"," want to just go over a few caveats. First of all unfortunately to our knowledge we"
"238470","243670"," really only expect the Astronify installation to work properly on Windows"
"243670","249970"," computers and also maybe on older MacBooks. If you have a MacBook with one"
"249970","256630"," of the newer Mac chips so not an Intel chip but a Mac chip so that's the M1, M2,"
"257029","262270"," M3 Mac we have had no luck getting Astronify to work on those new Macs."
"262770","268650"," Likewise if you are a Linux person using Linux unfortunately we also have not had"
"268650","273390"," luck getting Astronify to work on Linux. This alongside our desire to use"
"273390","277390"," NVDA as the screen reader we're teaching with is kind of one of the"
"277390","281870"," motivations for us encouraging all of you to use Windows for this tutorial"
"281870","289630"," series. Also if you have other packages already installed so say you already"
"289630","294370"," program a bunch and have other things installed on your Anaconda it is"
"294370","299310"," possible that this might not work. It's really hard to predict how different"
"299310","303150"," package dependencies might not get along with each other, might not work out"
"303150","308250"," properly. So if you have some sort of error message because you have other"
"308250","312430"," packages already installed please do let Patrick and I know either in office"
"312430","317270"," hours or over email and we will try to help you out. But for the vast majority"
"317270","322130"," of you who have installed Anaconda nice and fresh for this course this should be"
"322130","328090"," quite simple. We hope anyway. Cross your fingers. So installing Astronify and"
"328090","332310"," I've uninstalled it actually so that I can install it with you now is as simple"
"332310","337510"," as one line that we're going to type again not in IPython just in the Anaconda"
"337510","345850"," prompt. We are going to type PIP. PIP is our package manager here. It's the"
"345850","350350"," one managing all these libraries of code. PIP is the thing that's going to install"
"350350","354270"," this package for us. There's another package manager out there called Conda."
"354690","358690"," Some things are available via Conda others via PIP. We won't get into that. "
"358690","362850"," This one we're going to use PIP and if you're curious check out the curriculum"
"362850","369530"," online where I talk about it a little bit more. So it's PIP P-I-P space space"
"370390","385290"," install ""I-N-S-T-A-L-L"" PIP space install space Astronify ""space A-S-T-R-O-N"
"385290","397670"," R-O-N-I-F-Y"" PIP install Astronify A-S-T-R-O-N-I-F-Y and hit enter."
"401600","408340"," ""Collecting Astronify.Using cached Astronify 0.1 pi 3 none any dot WHL."
"408800","415260"," Requirement already satisfied. Astropy in C. Users.""Alright so I'm going to stop"
"415260","419680"," that now because there's a lot of text happening there. So I don't want you to"
"419680","423140"," hear all of it but I wanted some of it to play because I don't want you to feel"
"423140","428340"," like alarmed when NVDA starts reading out just this absolute barrage of text."
"428520","432820"," It should mostly be along the lines of like requirement already satisfied you"
"432820","437520"," know installing XYZ. If you start getting some angry sounding messages"
"437520","442400"," like you know couldn't do this or whatnot that's a good time to start"
"442400","447480"," maybe doing some googling or contacting Patrick and I but hopefully it'll all"
"447480","451820"," be nice things that are like requirement already satisfied and it should end with"
"451820","456100"," successfully installed Astronify and that should be all you need to do."
"457180","461220"," Occasionally I think I've seen some people get a message where it says"
"461220","467760"," proceed question mark yes why slash no and you have to hit type Y for yes and"
"467760","472320"," then hit enter. I don't think most of you should get that but if you do not"
"472320","480920"," worry. And with that congratulations the Astronify package is installed cool done."
"481280","486640"," First module or first section of this curriculum or this tutorial is checked"
"486640","491860"," off the list. What I'm going to do now is I'm going to actually step away from the"
"491860","496100"," terminal step away from some code and give you a little bit more theory about"
"496100","500880"," what sonification is and how it works. Now I've just mentioned sonification a"
"500880","505500"," bunch of times here without actually saying anything about what it is so"
"505500","508480"," we're gonna get into the theory we're gonna get into the examples and then"
"508480","519360"," we'll get back to the code yeah. On that note I'm going to turn off the"
"519360","523960"," speech for NVDA so it doesn't decide it wants to talk over me or talk over any"
"523960","528460"," of the sonification examples which we did have a little bit of in the original"
"528460","534240"," zoom so you know this is one a sound issue we will dodge. Speech mode off. "
"534500","541520"," All right and with that we will get into what is this sonification thing. So in the"
"541520","549620"," simplest terms sonification is the representation of data via sound. This is"
"549620","555440"," directly analogous to data visualization where data is represented via some"
"555440","560720"," visual medium. These are your line charts your bar charts your pie charts"
"560720","564860"," your histograms the list goes on there are a ton of data visualizations out"
"564860","570560"," there. Importantly the data does not literally look this way it does not"
"570560","574360"," literally look like a line graph it doesn't look like a bar chart this is"
"574360","579920"," how we choose often to represent it through some visual medium. In fact"
"579920","584780"," there are a lot of arbitrary choices involved in these in these visualizations"
"584780","590020"," for instance you have a line chart how are you going to scale the axes how"
"590020","594160"," large will you make the points these are all various different choices that you"
"594160","600940"," can make in these data visualizations. It is a representation of the data a way we"
"600940","605680"," choose often to picture the data and oftentimes they're quite useful they let"
"605680","610000"," us understand trends and things like that but there are issues with data"
"610000","614600"," visualizations and not the least of which which will be of course great"
"614600","618540"," interest to me and you is that they're not accessible to people with visual"
"618540","624400"," impairments like me. So data sonification where we represent the"
"624400","630660"," data as sound sort of corrects or steps around that one that sort of problem. Now"
"630660","635460"," before we get more into data sonification and what exactly a"
"635460","640860"," sonification could be besides the sound representation of data I want to break"
"640860","646400"," down some common misconceptions about sonification. First of all sonification"
"646400","652680"," generally doesn't involve words so it's like non-speech audio so for instance me"
"652680","657600"," standing here and telling you about data for instance when Patrick told you about"
"657600","663160"," the Airbnb data set that is not a sonification it's just him telling you"
"663160","667340"," about the about the data so it's not typically what we'd consider a"
"667340","672460"," sonification a sound representation of the data it's like a word representation"
"672460","675960"," of the data something along the lines of that I don't have a more elegant word"
"675960","680860"," for that but it's not generally what we'd consider sonification. Sonification"
"680860","687420"," also is not what we consider like natural sounds or or just the sounds"
"687420","692780"," themselves. What do I mean by this? Well for instance imagine you have someone"
"692780","698580"," walking and you are listening to their footsteps to understand to measure how"
"698580","704780"," quickly they are walking. In this case the sound of their footsteps is not a"
"704780","710840"," sonification. The sound of their footsteps is the data so the sound is"
"710840","717020"," not a representation of the data the sound in that case is the data. Scott"
"717020","720520"," Fleming in his talk at the Space Telescope Science Institute's Day of"
"720520","726220"," Accessibility had another great example bird songs not a sonification bird songs"
"726220","731180"," would be your data if you were going out and observing bird songs same sort of"
"731180","736540"," idea here. So it is in the same way that a data visualization is not literally"
"736540","742020"," like what the data looks like a data sonification is not literally what the"
"742020","748920"," data sounds like. Alright so we've broken down roughly what sonification is it's"
"748920","754220"," a sound representation of the data and it's not words and it's not sounds from"
"754220","759680"," nature. Okay we've got the big picture here the only way to concretize this"
"759680","765020"," sort of idea of what sonification is is going to be to get into how we actually"
"765020","770100"," sonify things. Today we're going to go over two of the most common sonification"
"770100","775300"," techniques this is going to be modification and parameter mapping what"
"775300","780200"," they are what their differences are and we'll also talk about some or we'll also"
"780200","787950"," show some examples of each. Alright let's begin by talking about"
