"start","end","text"
"0","4560"," So let's go ahead and get started. Welcome all. I'm really excited to have you here for the"
"4560","13020"," second workshop in our non-visual data science workshop series.I am Patrick Smyth, and I'll"
"13020","17740"," say a little about myself in a minute, but once we get some of the procedural stuff out of the way,"
"19120","25800"," this is the second workshop in the series. It is a workshop on an intro to data science"
"25800","29920"," fundamentals with pandas, and we'll talk about what pandas is. We'll even talk a little about"
"29920","33720"," what data science is, though that's a little bit of an unsatisfying answer sometimes. "
"35040","38660"," I'd also like to introduce our helpers who are going to be in the chat."
"39500","43860"," We have with us Sarah Kane. Maybe, Sarah, you could say hi. "
"45160","49520"," Hi, my name is Sarah. I'll be one of the helpers today. I'll be teaching some of the tutorials"
"49520","58200"," later on. Thank you, my co-leader. Elizabeth, do you want to introduce yourself?"
"61040","65880"," Yeah, hi everyone. My name is Elizabeth, and I am a postdoc at the Institute of Astronomy"
"66460","71560"," in Cambridge. Today, I will try to answer your questions in the chat as quick as I can."
"72360","78220"," Excellent. I don't know if Alex is here yet. I am here."
"78820","83220"," Excellent. Let me give you permission.You want to go ahead and introduce yourself?"
"84100","89160"," Hi, I'm Alex. I'm a PhD student at the Institute of Astronomy with Sarah and Elizabeth."
"90820","94540"," I'm a Python man. I will help you with all Python things in the chat."
"95660","102460"," Thank you, Alex. We may also have joining us Stephen Zweibel, who is a"
"104300","109020"," Digital Scholarship Librarian at the Graduate Center, City University of New York here in New"
"109020","114700"," York. Hello. Steve, you're online. Yes, I'm here. Sorry. It's a snow day here."
"116680","120980"," Yeah, your children are home, so I understand how this is, but thank you. "
"122980","129400"," It's also possible we may have Paul Alexander Bloom and Monika Thieu, who are two psychologists"
"129400","134780"," and also teachers of R and Python joining us. You may see them in the chat as well."
"136080","141900"," Basically, the way the chat will work is if you have a question, place it in the chat. If you want"
"141900","147520"," to ask your question privately, you can use the private chat interface on Zoom to reach out to"
"147520","153620"," one of the helpers specifically. We also, I believe, are having our helpers. Their names"
"153620","160620"," should have helper in them. If that is the case, that will help you out if you want to send a"
"160620","165320"," private message. Just feel free to put most of your questions in the chat publicly, and a helper"
"165320","169880"," will either answer you either privately or publicly. They'll answer publicly if they think"
"169880","175540"," that the answer will help other people who are following along. I'd like to now really quickly"
"175540","188240"," share a link to the curriculum for this workshop. It is on a website called GitHub."
"189840","196640"," My recommendation is if you're using NVDA, GitHub tends to add a bunch of buttons and other"
"196640","203660"," information before you actually get to the curriculum part. I would navigate by heading"
"203660","210040"," to the heading one on the page. It may not be the first heading one. Navigate by heading or H1"
"210040","217540"," to get to the beginning on each page of the actual curriculum. We have our helpers."
"218580","233360"," Let's go ahead and do a little introduction to the topic here. I'll just say who I am. I'm"
