"start","end","text"
"1220","7900"," Hi all, and welcome to the non-visual Python workshop. This is going to be the first workshop"
"7900","16560"," of a five-workshop series on non-visual data science in Python. And this workshop series"
"16560","26120"," is led by myself, Patrick Smyth, and also Sarah Kane, and it's funded by a grant from"
"26960","30220"," NumFocus and Pandas, so thank you very much for supporting that. "
"31520","39520"," And so in this workshop series, we'll be learning how to work with data without"
"40400","51400"," vision, sight, or using much of the focus of many introductory data science tutorials,"
"51560","57080"," workshops, and so on, which is on visualization. So in this workshop series, we'll be working up to"
"57080","63640"," creating a sonification of a data set. We'll be putting together that data set,"
"63959","69040"," and on the way, we'll be learning for the fundamentals of the Python programming language,"
"69960","78220"," some fundamentals of Pandas, which is a data science library or tool that's very widely used,"
"78540","85080"," and also for sonification, we'll be using Astronify, which is a library, a tool for"
"85080","93240"," sonification. And so in this workshop series, we'll be using or we'll be demoing for you"
"94280","102580"," NVDA, non-visual desktop access, the screen reader, and as we use Python. You can use other"
"102580","107120"," screen readers. I've heard, we've heard good reports that JAWS works well with this tutorial"
"107120","115060"," with very similar shortcuts, but what you will be seeing and hearing is NVDA. So"
"116820","124200"," just want to explain a little bit about what is Python, what is, and what are the tools that"
"124200","133160"," we're going to be using in this workshop series. So the Python is a, it's what's called a high"
"133160","140460"," level programming language. So if you imagine that the computer being kind of a stack from high"
"140460","146400"," to low, and then on the high end of that stack, there will be languages that are a little closer"
"146400","152040"," to how people think, how people talk, and how people would deal with problems. And on the low"
"152040","158260"," end of that is, so a low level language would be how the computer thinks in terms of numbers,"
"159360","164880"," data, and so on. So Python is a high level programming language, meaning it's a little"
"164880","171420"," closer to how we as people think. The trade-off there of course is in speed. The computers are"
"171420","178080"," so fast these days that often that trade-off is kind of one we're willing to make. So Python is,"
"178140","183080"," it's been around for quite a while now. I think it was created in 1989. It's a programming language"
"183080","191580"," that's used widely in industry and the academy. It's used to create applications. It's used to"
"191580","198160"," perform what are called scripting tasks, which are essentially automated tasks that you make on"
"198160","204420"," your computer, say automating, moving around files and folders and so on. But for our purposes,"
"204860","216760"," it's also used widely for data science. And the very short, data science is an application of"
"216760","226720"," technology and statistics for studying data. And it's sort of a, people who are data scientists,"
"226720","236140"," they describe them, they do a wide variety of things, but it kind of grew out of the mathematical"
"236140","242660"," discipline of statistics and so on. And these days it's a very technological discipline where"
"242660","248540"," often programming and other technical skills are, if not necessary, then incredibly useful."
"251620","256480"," So what are we, how are we going to be accessing Python today? We'll be switching now to,"
"256640","262220"," in a second, to the environment that we'll be using to interact with Python, which is"
"262780","267060"," called iPython. But for this workshop, you should have installed two pieces of software. "
"267900","273720"," The first is NVDA, non-visual desktop access. That's the screen reader we're going to be using"
"274340","284560"," to interact with our computer. And then the second is Anaconda, which is a, what's called"
"284560","292860"," a distribution of Python. So Python, you can go to the Python website and download sort of the"
"292860","299020"," standard Python installation, which is called CPython. And that comes with a whole bunch of"
"299020","304520"," useful tools and so on. It's for a general purpose. What we're asking you to install is,"
"304580","311140"," which is called Anaconda. And you can go to some search engine and type Anaconda download,"
"311300","315440"," and it should be the first page that comes up. But what Anaconda is, it's a distribution of Python. "
"315620","319180"," So it's basically what you would get if you installed sort of the default Python,"
"319640","327400"," plus a bunch of extra tools that are useful for data science specifically. It is a little bit big,"
"327400","330940"," so make sure you have a little extra room on your hard drive. I think it's something like a gigabyte,"
"331260","338440"," and it can take a little while to install. But once you have it, you can get a whole bunch of"
"338440","342960"," additional functionality, additional tools, specifically related to data science."
"344580","350560"," Unfortunately, not all of the tools that come to Anaconda are accessible to the blind and"
"350560","362000"," screen reader users. Notably, Jupyter Notebooks, which are one of the main ways people interact"
"362000","367920"," with Python for data science, those are not currently 100% accessible. There's definitely"
"367920","374840"," been improvements over the last couple years in usability for screen reader users, but it's not"
"374840","379940"," quite there. It's still a little bit clunky. What we will be using after we install Anaconda"
"380600","388860"," is called the Anaconda prompt, and specifically IPython. So we'll be opening that up in a minute,"
"388960","399960"," and you'll see in here what it looks like. But IPython essentially is kind of a fancy"
"402840","407320"," program to interact directly with Python, to have a conversation with Python. I'll explain"
"407320","411220"," a little bit more about what IPython does over the course of this workshop. "
"414340","420200"," Before we move on to the part of the workshop where we actually start writing some code and"
"420200","426600"," working with Python, I just want to thank a few people. This is a re-recording due to some"
"426600","433520"," technical issues of the workshop we had on February 6th, where we had a number of helpers"
"433520","440260"," to facilitate, and so I just want to thank the helpers that were there. So those are Alex Ogden,"
"440540","446880"," Elizabeth Sola, Sarah Kane, who is leading this workshop series with me, Stephen Zweibel,"
"446880","453660"," Monica Thew, and Paul Alexander-Bloom. So thank you to our helpers who helped out"
"454260","464360"," on February 6th, 2024. And I also really want to thank Patrick Hofler, who sort of supported this"
"464360","472160"," initiative from within Pandas. So Patrick is a core developer at Pandas, so I'd just like to thank"
"472800","484340"," Patrick.And just to say who I am, I'm Patrick Smyth. I am a teacher, a writer, and a programmer."
"485040","492780"," I am the chief learner at IOTA School, so we're a consultancy where we work with clients on"
"492780","502340"," accessibility, documentation, and infrastructure coding. And you can learn more at IOTASchool.com."
"503060","507920"," And I personally, I'm visually impaired. I'm a visually impaired programmer. I have maybe"
"507920","513299"," something like 2% vision remaining. I have no central vision. I have retinitis pigmentosa."
"515220","522360"," So I have a little residual vision that you may see me, you know, use occasionally,"
"522480","530440"," but mostly I'm a screen reader user. And so I will, the focus of this workshop series is"
"530440","535340"," definitely on the screen reader use, but I will, you know, I know there are some low vision people"
"535340","541420"," and some sighted people who are following along with these workshops, so I will attempt also to"
"541420","549400"," explain some of the low vision and the, you know, sighted ways of doing some of these same things."
"549920","558820"," Okay, so without further ado, let's transition to sort of demo mode here, and we will"
"560220","565880"," get to writing a little bit of Python. So I'm here on my Windows desktop,"
"567060","572120"," and the first thing we're going to do is, you know, if you haven't already, you should start NVDA. "
"572860","576320"," I already have NVDA running. I'm going to turn it off and start it again just"
"576320","582120"," for demo purposes. That's the sound of NVDA turning off. I'm going to press the Windows"
"582120","590660"," button and type NVDA and press enter. Excellent. We should have, we're good to go with NVDA. So"
"591340","597720"," the next thing I'm going to do is, I am an eSpeak speech user, so the voice I use is a little"
"597720","602000"," scratchy sounding, so I'm going to make it, change the profile to be a little more of a friendly"
"602000","608740"," sounding voice, so NVDA menu, NVDA button and N, and I'm going to go to profile."
"613820","624320"," Okay, and change it to a slightly nicer sounding voice, and then you should have"
"624320","630720"," Anaconda installed. If not, you can go to, in any search engine type, Anaconda download,"
"631480","637180"," and it should be the first result. Go ahead and install it. You can use the default settings as"
"637180","645420"," you install, and once you have Anaconda installed, what we want to use is the Anaconda prompt."
"645960","653040"," So the Anaconda prompt is, essentially it's a command, it opens a command line application"
"653040","656960"," that we'll be using throughout this workshop series. So let's go ahead and open that up."
"657860","664600"," Okay, so press the Windows button.Now we have search, so I'm going to type Anaconda."
"665880","670840"," Okay, so I typed a little"
"670840","676040"," bit of the word Anaconda. I typed a little bit of the word Anaconda, and Anaconda prompt was"
"676040","683580"," the first result. What you don't want is what is called the Anaconda navigator. So the Anaconda"
"683580","689600"," navigator is something that's only partially accessible. It's just another part of this"
"689600","694440"," Anaconda distribution. We do not want that. What we want is the Anaconda prompt. Okay,"
"694560","697560"," so make sure that that's what you're getting. I'm going to press enter to start that."
"698500","703020"," Okay, and then I'm pausing it. So"
"704360","711360"," we have, if you listen now, you'll hear what we have in front of us, or what we're going to hear"
"711360","718680"," is essentially a prompt. Basically it's a command line and a prompt, meaning prompt is some text"
"718680","725040"," suggesting, oh, type something in here.So listen for what that sounds like. ""(base)"
"725040","731680"," C:\Users\Patrick>."" It said C drive, users, Patrick, greater,"
"731840","737580"," and the greater is sort of the prompt. The greater is kind of a little greater than sign,"
"737660","741420"," and that's suggesting, hey, type something in. When they say prompt, it's sort of like"
"741420","746140"," encouraging you to type something. So if you hear that, you should be in the right place. "
"749220","757380"," And I want to do one thing before we move on, which is if you're using this video and you're"
"757380","763640"," totally blind or you're not using your vision for this, it won't be relevant to you. Or if"
"763640","768120"," you're sighted, it may not be relevant to you. But for low vision people, I want to give a little"
"768120","775920"," advice on making this environment maximally visible for a low vision usage. So first of all,"
"775920","780520"," on Windows, I personally, I invert the colors on the whole OS. So I'm going to do that now."
"781120","786380"," That's using the magnifier. When the magnifier is activated, and to start the magnifier,"
"786600","792420"," you can hold down the Windows button and press the plus key, which will zoom in. But if you"
"792420","797500"," don't have it open, it will open magnifier. Once you have magnifier open, Windows magnifier,"
"797500","803080"," you can use control alt I, and that will invert the colors on your OS. "
"804960","811160"," That can be obviously very useful if you're not using it already. I'm going to maximize this"
"811800","815280"," application that we have. So I'm going to hold on Windows, the Windows button and press up. "
"816100","822640"," So that kind of maximizes the application automatically using Windows up. And then"
"822640","831560"," what I want to do is show you how if you if you would like to make the text extremely large,"
"831720","837920"," as I have on my screen. So let's pull down the I think it is control space."
"839040","844780"," Maybe alt space, hold down alt and press space. Yeah, there we go.And then you can"
"844780","850380"," press the P button. So it's alt space, then you press the P button to open properties for this"
"850380","854900"," application. Or you can go through this menu, ""move unavailable, size unavailable, minimize n, maximize unavailable,"
"854900","860580"," close C, edit E, defaults D, properties P"" properties P or you can just press the P button."
"861060","865380"," But I'm press enter now, """"Anaconda Prompt (Anaconda3)"""
"865380","869760"," Properties dialog true type fonts are recommended for high DPI displays as raster"
